epi_week	date	city	newDeaths	deaths	newCases	totalCases
53	2021-01-01	TOTAL	470	195478	22937	7703019
53	2021-01-02	TOTAL	292	195770	15351	7718370
101	2021-01-03	TOTAL	311	196081	17189	7735559
101	2021-01-04	TOTAL	594	196675	25030	7760589
101	2021-01-05	TOTAL	1188	197863	58081	7818670
101	2021-01-06	TOTAL	1230	199093	62481	7881151
101	2021-01-07	TOTAL	1518	200611	87955	7969106
101	2021-01-08	TOTAL	1078	201689	59576	8028682
101	2021-01-09	TOTAL	1008	202697	51388	8080070
102	2021-01-10	TOTAL	489	203186	29027	8109097
102	2021-01-11	TOTAL	491	203677	30739	8139836
102	2021-01-12	TOTAL	1125	204802	64415	8204251
102	2021-01-13	TOTAL	1264	206066	59806	8264057
102	2021-01-14	TOTAL	1154	207220	68317	8332374
102	2021-01-15	TOTAL	1136	208356	69087	8401461
102	2021-01-16	TOTAL	1014	209370	58438	8459899
103	2021-01-17	TOTAL	551	209921	31414	8491313
103	2021-01-18	TOTAL	476	210397	28924	8520237
103	2021-01-19	TOTAL	1160	211557	62137	8582374
103	2021-01-20	TOTAL	1395	212952	64470	8646844
103	2021-01-21	TOTAL	1347	214299	58937	8705781
103	2021-01-22	TOTAL	1071	215370	56591	8762372
103	2021-01-23	TOTAL	1145	216515	58294	8820666
104	2021-01-24	TOTAL	594	217109	28517	8849183
104	2021-01-25	TOTAL	689	217798	30528	8879711
104	2021-01-26	TOTAL	1154	218952	61598	8941309
104	2021-01-27	TOTAL	1336	220288	64761	9006070
104	2021-01-28	TOTAL	1437	221725	60744	9066814
104	2021-01-29	TOTAL	1084	222809	59484	9126298
104	2021-01-30	TOTAL	1192	224001	53110	9179408
105	2021-01-31	TOTAL	568	224569	27898	9207306
105	2021-02-01	TOTAL	622	225191	28479	9235785
105	2021-02-02	TOTAL	1259	226450	56262	9292047
105	2021-02-03	TOTAL	1197	227647	54401	9346448
105	2021-02-04	TOTAL	1276	228923	57100	9403548
105	2021-02-05	TOTAL	1251	230174	51681	9455229
105	2021-02-06	TOTAL	937	231111	46309	9501538
106	2021-02-07	TOTAL	488	231599	26161	9527699
