date	percentage	lineage
2021-04-01	2.8436018957346	Alpha
2021-08-01	0	Alpha
2021-12-01	0	Alpha
2021-02-01	0	Alpha
2022-02-01	0	Alpha
2021-01-01	0	Alpha
2022-01-01	0	Alpha
2021-07-01	0.391389432485323	Alpha
2021-06-01	0.32	Alpha
2021-03-01	2.22222222222222	Alpha
2022-03-01	0	Alpha
2021-05-01	0.484261501210654	Alpha
2021-11-01	0	Alpha
2021-10-01	0	Alpha
2021-09-01	0	Alpha
2021-04-01	0.947867298578199	B.1.1.28
2021-08-01	0	B.1.1.28
2021-12-01	0	B.1.1.28
2021-02-01	0	B.1.1.28
2022-02-01	0	B.1.1.28
2021-01-01	24.1379310344828	B.1.1.28
2022-01-01	0	B.1.1.28
2021-07-01	0	B.1.1.28
2021-06-01	0.16	B.1.1.28
2021-03-01	2.22222222222222	B.1.1.28
2022-03-01	0	B.1.1.28
2021-05-01	0	B.1.1.28
2021-11-01	0	B.1.1.28
2021-10-01	0	B.1.1.28
2021-09-01	0	B.1.1.28
2021-04-01	0.4739336492891	B.1.1.33
2021-08-01	0	B.1.1.33
2021-12-01	0	B.1.1.33
2021-02-01	0	B.1.1.33
2022-02-01	0	B.1.1.33
2021-01-01	5.17241379310345	B.1.1.33
2022-01-01	0	B.1.1.33
2021-07-01	0	B.1.1.33
2021-06-01	0	B.1.1.33
2021-03-01	0	B.1.1.33
2022-03-01	0	B.1.1.33
2021-05-01	0	B.1.1.33
2021-11-01	0	B.1.1.33
2021-10-01	0	B.1.1.33
2021-09-01	0	B.1.1.33
2021-04-01	0	Delta
2021-08-01	13.6792452830189	Delta
2021-12-01	30	Delta
2021-02-01	0	Delta
2022-02-01	0	Delta
2021-01-01	0	Delta
2022-01-01	1.36363636363636	Delta
2021-07-01	0	Delta
2021-06-01	0	Delta
2021-03-01	0	Delta
2022-03-01	0	Delta
2021-05-01	0	Delta
2021-11-01	100	Delta
2021-10-01	97.4683544303798	Delta
2021-09-01	77.9735682819383	Delta
2021-04-01	93.8388625592417	Gamma
2021-08-01	85.6132075471698	Gamma
2021-12-01	0	Gamma
2021-02-01	100	Gamma
2022-02-01	0	Gamma
2021-01-01	1.72413793103448	Gamma
2022-01-01	0	Gamma
2021-07-01	99.412915851272	Gamma
2021-06-01	99.52	Gamma
2021-03-01	92.2222222222222	Gamma
2022-03-01	0	Gamma
2021-05-01	99.5157384987894	Gamma
2021-11-01	0	Gamma
2021-10-01	2.53164556962025	Gamma
2021-09-01	20.2643171806167	Gamma
2021-04-01	0	Omicron
2021-08-01	0	Omicron
2021-12-01	70	Omicron
2021-02-01	0	Omicron
2022-02-01	100	Omicron
2021-01-01	0	Omicron
2022-01-01	98.6363636363636	Omicron
2021-07-01	0	Omicron
2021-06-01	0	Omicron
2021-03-01	0	Omicron
2022-03-01	100	Omicron
2021-05-01	0	Omicron
2021-11-01	0	Omicron
2021-10-01	0	Omicron
2021-09-01	0	Omicron
2021-04-01	1.4218009478673	Others
2021-08-01	0.707547169811321	Others
2021-12-01	0	Others
2021-02-01	0	Others
2022-02-01	0	Others
2021-01-01	10.3448275862069	Others
2022-01-01	0	Others
2021-07-01	0.195694716242661	Others
2021-06-01	0	Others
2021-03-01	0	Others
2022-03-01	0	Others
2021-05-01	0	Others
2021-11-01	0	Others
2021-10-01	0	Others
2021-09-01	1.76211453744493	Others
2021-04-01	0.4739336492891	Zeta
2021-08-01	0	Zeta
2021-12-01	0	Zeta
2021-02-01	0	Zeta
2022-02-01	0	Zeta
2021-01-01	58.6206896551724	Zeta
2022-01-01	0	Zeta
2021-07-01	0	Zeta
2021-06-01	0	Zeta
2021-03-01	3.33333333333333	Zeta
2022-03-01	0	Zeta
2021-05-01	0	Zeta
2021-11-01	0	Zeta
2021-10-01	0	Zeta
2021-09-01	0	Zeta
