epi_week	date	state	city	ibgeID	newDeaths	deaths	newCases	totalCases
53	2021-01-01	SP	Adolfo/SP	3500204	0	5	0	149
53	2021-01-01	SP	Américo de Campos/SP	3501806	0	12	0	377
53	2021-01-01	SP	Aparecida d'Oeste/SP	3502606	0	9	0	335
53	2021-01-01	SP	Ariranha/SP	3503703	0	10	0	207
53	2021-01-01	SP	Aspásia/SP	3503950	0	2	0	57
53	2021-01-01	SP	Bady Bassitt/SP	3504602	0	23	0	1178
53	2021-01-01	SP	Bálsamo/SP	3504800	0	27	0	622
53	2021-01-01	SP	Cardoso/SP	3510708	0	9	0	240
53	2021-01-01	SP	Catanduva/SP	3511102	0	180	0	4957
53	2021-01-01	SP	Catiguá/SP	3511201	0	8	0	329
53	2021-01-01	SP	Cedral/SP	3511300	0	10	0	341
53	2021-01-01	SP	Cosmorama/SP	3512902	0	21	0	351
53	2021-01-01	SP	Dirce Reis/SP	3513850	0	0	0	28
53	2021-01-01	SP	Dolcinópolis/SP	3514205	0	5	0	80
53	2021-01-01	SP	Elisiário/SP	3514924	0	4	0	193
53	2021-01-01	SP	Embaúba/SP	3514957	0	1	0	62
53	2021-01-01	SP	Estrela d'Oeste/SP	3515202	0	14	0	599
53	2021-01-01	SP	Fernando Prestes/SP	3515608	0	3	0	170
53	2021-01-01	SP	Fernandópolis/SP	3515509	0	72	0	4130
53	2021-01-01	SP	Floreal/SP	3515905	0	1	0	57
53	2021-01-01	SP	Gastão Vidigal/SP	3516804	0	12	0	85
53	2021-01-01	SP	General Salgado/SP	3516903	0	3	0	357
53	2021-01-01	SP	Guapiaçu/SP	3517505	0	33	0	1121
53	2021-01-01	SP	Guarani d'Oeste/SP	3518008	0	0	0	60
53	2021-01-01	SP	Ibirá/SP	3519402	0	13	0	518
53	2021-01-01	SP	Icém/SP	3519808	0	3	0	230
53	2021-01-01	SP	Indiaporã/SP	3520707	0	0	0	46
53	2021-01-01	SP	Ipiguá/SP	3521150	0	10	0	347
53	2021-01-01	SP	Irapuã/SP	3521507	0	4	0	188
53	2021-01-01	SP	Itajobi/SP	3521903	0	13	0	531
53	2021-01-01	SP	Jaci/SP	3524501	0	7	0	386
53	2021-01-01	SP	Jales/SP	3524808	0	71	0	2481
53	2021-01-01	SP	José Bonifácio/SP	3525706	0	27	0	1703
53	2021-01-01	SP	Macaubal/SP	3528106	0	4	0	145
53	2021-01-01	SP	Magda/SP	3528304	0	2	0	56
53	2021-01-01	SP	Marapoama/SP	3528858	0	3	0	96
53	2021-01-01	SP	Marinópolis/SP	3529104	0	1	0	63
53	2021-01-01	SP	Mendonça/SP	3529500	0	10	0	194
53	2021-01-01	SP	Meridiano/SP	3529609	0	5	0	153
53	2021-01-01	SP	Mesópolis/SP	3529658	0	1	0	40
53	2021-01-01	SP	Mira Estrela/SP	3530003	0	1	0	90
53	2021-01-01	SP	Mirassol/SP	3530300	0	64	0	2770
53	2021-01-01	SP	Mirassolândia/SP	3530409	0	2	0	210
53	2021-01-01	SP	Monte Aprazível/SP	3531407	0	24	0	866
53	2021-01-01	SP	Monções/SP	3531001	0	3	0	94
53	2021-01-01	SP	Neves Paulista/SP	3532504	0	8	0	322
53	2021-01-01	SP	Nhandeara/SP	3532603	0	12	0	351
53	2021-01-01	SP	Nipoã/SP	3532702	0	2	0	132
53	2021-01-01	SP	Nova Aliança/SP	3532801	0	7	0	335
53	2021-01-01	SP	Nova Canaã Paulista/SP	3532843	0	2	0	87
53	2021-01-01	SP	Nova Granada/SP	3533007	0	26	0	1185
53	2021-01-01	SP	Novais/SP	3533254	0	8	0	198
53	2021-01-01	SP	Novo Horizonte/SP	3533502	0	34	0	1514
53	2021-01-01	SP	Onda Verde/SP	3534005	0	5	0	292
53	2021-01-01	SP	Orindiúva/SP	3534203	0	5	0	360
53	2021-01-01	SP	Ouroeste/SP	3534757	0	7	0	375
53	2021-01-01	SP	Palestina/SP	3535002	0	7	0	190
53	2021-01-01	SP	Palmares Paulista/SP	3535101	0	15	0	450
53	2021-01-01	SP	Palmeira d'Oeste/SP	3535200	0	6	0	307
53	2021-01-01	SP	Paranapuã/SP	3535903	0	6	0	149
53	2021-01-01	SP	Paraíso/SP	3535705	0	4	0	178
53	2021-01-01	SP	Paulo de Faria/SP	3536604	0	3	0	238
53	2021-01-01	SP	Pedranópolis/SP	3536901	0	3	0	87
53	2021-01-01	SP	Pindorama/SP	3538105	0	17	0	641
53	2021-01-01	SP	Pirangi/SP	3539004	0	16	0	398
53	2021-01-01	SP	Planalto/SP	3539608	0	4	0	226
53	2021-01-01	SP	Poloni/SP	3539905	0	3	0	145
53	2021-01-01	SP	Pontalinda/SP	3540259	0	5	0	92
53	2021-01-01	SP	Pontes Gestal/SP	3540309	0	5	0	151
53	2021-01-01	SP	Populina/SP	3540408	0	3	0	75
53	2021-01-01	SP	Potirendaba/SP	3540804	0	12	0	785
53	2021-01-01	SP	Riolândia/SP	3544202	0	3	0	399
53	2021-01-01	SP	Rubinéia/SP	3544509	0	2	0	103
53	2021-01-01	SP	Sales/SP	3544806	0	6	0	100
53	2021-01-01	SP	Santa Adélia/SP	3545605	0	6	0	441
53	2021-01-01	SP	Santa Albertina/SP	3545704	0	2	0	287
53	2021-01-01	SP	Santa Clara d'Oeste/SP	3546108	0	5	0	75
53	2021-01-01	SP	Santa Fé do Sul/SP	3546603	0	46	0	1427
53	2021-01-01	SP	Santa Rita d'Oeste/SP	3547403	0	1	0	53
53	2021-01-01	SP	Santa Salete/SP	3547650	0	3	0	71
53	2021-01-01	SP	Santana da Ponte Pensa/SP	3547205	0	0	0	20
53	2021-01-01	SP	Sebastianópolis do Sul/SP	3551306	0	1	0	83
53	2021-01-01	SP	São Francisco/SP	3549003	0	4	0	84
53	2021-01-01	SP	São José do Rio Preto/SP	3549805	0	917	0	36185
53	2021-01-01	SP	São João das Duas Pontes/SP	3549201	0	3	0	82
53	2021-01-01	SP	São João de Iracema/SP	3549250	0	3	0	47
