date	value	vaccination
2021-01-01	0	vaccinated_first_dose
2021-01-02	0	vaccinated_first_dose
2021-01-03	0	vaccinated_first_dose
2021-01-04	0	vaccinated_first_dose
2021-01-05	0	vaccinated_first_dose
2021-01-06	0	vaccinated_first_dose
2021-01-07	0	vaccinated_first_dose
2021-01-08	0	vaccinated_first_dose
2021-01-09	0	vaccinated_first_dose
2021-01-10	0	vaccinated_first_dose
2021-01-11	0	vaccinated_first_dose
2021-01-12	0	vaccinated_first_dose
2021-01-13	0	vaccinated_first_dose
2021-01-14	0	vaccinated_first_dose
2021-01-15	0	vaccinated_first_dose
2021-01-16	0	vaccinated_first_dose
2021-01-17	371	vaccinated_first_dose
2021-01-18	1621	vaccinated_first_dose
2021-01-19	15934	vaccinated_first_dose
2021-01-20	124620	vaccinated_first_dose
2021-01-21	270572	vaccinated_first_dose
2021-01-22	617925	vaccinated_first_dose
2021-01-23	742705	vaccinated_first_dose
2021-01-24	786821	vaccinated_first_dose
2021-01-25	1004859	vaccinated_first_dose
2021-01-26	1258914	vaccinated_first_dose
2021-01-27	1571594	vaccinated_first_dose
2021-01-28	1833299	vaccinated_first_dose
2021-01-29	2221823	vaccinated_first_dose
2021-01-30	2341547	vaccinated_first_dose
2021-01-31	2377136	vaccinated_first_dose
2021-02-01	2581406	vaccinated_first_dose
2021-02-02	2811140	vaccinated_first_dose
2021-02-03	3101818	vaccinated_first_dose
2021-02-04	3409546	vaccinated_first_dose
2021-02-05	3756691	vaccinated_first_dose
2021-02-06	3885627	vaccinated_first_dose
2021-02-07	3927535	vaccinated_first_dose
2021-02-08	4135700	vaccinated_first_dose
2021-02-09	4387902	vaccinated_first_dose
2021-02-10	4626757	vaccinated_first_dose
2021-02-11	4849125	vaccinated_first_dose
2021-02-12	5170209	vaccinated_first_dose
2021-02-13	5248903	vaccinated_first_dose
2021-02-14	5270146	vaccinated_first_dose
2021-02-15	5461626	vaccinated_first_dose
2021-02-16	5607935	vaccinated_first_dose
2021-02-17	5751662	vaccinated_first_dose
2021-02-18	5897311	vaccinated_first_dose
2021-02-19	6001187	vaccinated_first_dose
2021-02-20	6054262	vaccinated_first_dose
2021-02-21	6090376	vaccinated_first_dose
2021-02-22	6217962	vaccinated_first_dose
2021-02-23	6315259	vaccinated_first_dose
2021-02-24	6390478	vaccinated_first_dose
2021-02-25	6525126	vaccinated_first_dose
2021-02-26	6617022	vaccinated_first_dose
2021-02-27	6740530	vaccinated_first_dose
2021-02-28	6767836	vaccinated_first_dose
2021-03-01	7095772	vaccinated_first_dose
2021-03-02	7410337	vaccinated_first_dose
2021-03-03	7776078	vaccinated_first_dose
2021-03-04	8033606	vaccinated_first_dose
2021-03-05	8281676	vaccinated_first_dose
2021-03-06	8466297	vaccinated_first_dose
2021-03-07	8550598	vaccinated_first_dose
2021-03-08	8821527	vaccinated_first_dose
2021-03-09	9060486	vaccinated_first_dose
2021-03-10	9297385	vaccinated_first_dose
2021-03-11	9568211	vaccinated_first_dose
2021-03-12	9812190	vaccinated_first_dose
2021-03-13	9941566	vaccinated_first_dose
2021-03-14	9989213	vaccinated_first_dose
2021-03-15	10409072	vaccinated_first_dose
2021-03-16	10723506	vaccinated_first_dose
2021-03-17	11022213	vaccinated_first_dose
2021-03-18	11345737	vaccinated_first_dose
2021-03-19	11916399	vaccinated_first_dose
2021-03-20	12153768	vaccinated_first_dose
2021-03-21	12230244	vaccinated_first_dose
2021-03-22	12713229	vaccinated_first_dose
2021-03-23	13190572	vaccinated_first_dose
2021-03-24	13811174	vaccinated_first_dose
2021-03-25	14523255	vaccinated_first_dose
2021-03-26	15449212	vaccinated_first_dose
2021-03-27	15808639	vaccinated_first_dose
2021-03-28	16032102	vaccinated_first_dose
2021-03-29	16815642	vaccinated_first_dose
2021-03-30	17432139	vaccinated_first_dose
2021-03-31	18152566	vaccinated_first_dose
2021-04-01	19023992	vaccinated_first_dose
2021-04-02	19292331	vaccinated_first_dose
2021-04-03	19585002	vaccinated_first_dose
2021-04-04	19868128	vaccinated_first_dose
2021-04-05	20426450	vaccinated_first_dose
2021-04-06	21163565	vaccinated_first_dose
2021-04-07	21805470	vaccinated_first_dose
2021-04-08	22484502	vaccinated_first_dose
2021-04-09	22921482	vaccinated_first_dose
2021-04-10	23334052	vaccinated_first_dose
2021-04-11	23534620	vaccinated_first_dose
2021-04-12	24186588	vaccinated_first_dose
2021-04-13	24748488	vaccinated_first_dose
2021-04-14	25280429	vaccinated_first_dose
2021-04-15	25756818	vaccinated_first_dose
2021-04-16	26076390	vaccinated_first_dose
2021-04-17	26305021	vaccinated_first_dose
2021-04-18	26419160	vaccinated_first_dose
2021-04-19	26885797	vaccinated_first_dose
2021-04-20	27377674	vaccinated_first_dose
2021-04-21	27742769	vaccinated_first_dose
2021-04-22	28118736	vaccinated_first_dose
2021-04-23	29038640	vaccinated_first_dose
2021-04-24	29223769	vaccinated_first_dose
2021-04-25	29276343	vaccinated_first_dose
2021-04-26	29816426	vaccinated_first_dose
2021-04-27	30472317	vaccinated_first_dose
2021-04-28	30952357	vaccinated_first_dose
2021-04-29	31478088	vaccinated_first_dose
2021-04-30	31918680	vaccinated_first_dose
2021-05-01	32046805	vaccinated_first_dose
2021-05-02	32222879	vaccinated_first_dose
2021-05-03	32680022	vaccinated_first_dose
2021-05-04	33283393	vaccinated_first_dose
2021-05-05	33968856	vaccinated_first_dose
2021-05-06	34902080	vaccinated_first_dose
2021-05-07	35596026	vaccinated_first_dose
2021-05-08	35814357	vaccinated_first_dose
2021-05-09	35870764	vaccinated_first_dose
2021-05-10	36485491	vaccinated_first_dose
2021-05-11	37071677	vaccinated_first_dose
2021-05-12	37816946	vaccinated_first_dose
2021-05-13	38349928	vaccinated_first_dose
2021-05-14	38952701	vaccinated_first_dose
2021-05-15	39191828	vaccinated_first_dose
2021-05-16	39369758	vaccinated_first_dose
2021-05-17	39961191	vaccinated_first_dose
2021-05-18	40557385	vaccinated_first_dose
2021-05-19	41125491	vaccinated_first_dose
2021-05-20	41812653	vaccinated_first_dose
2021-05-21	42390055	vaccinated_first_dose
2021-05-22	42609906	vaccinated_first_dose
2021-05-23	43196516	vaccinated_first_dose
2021-05-24	43721132	vaccinated_first_dose
2021-05-25	44232454	vaccinated_first_dose
2021-05-26	44744459	vaccinated_first_dose
2021-05-27	45228177	vaccinated_first_dose
2021-05-28	46007036	vaccinated_first_dose
2021-05-29	46306587	vaccinated_first_dose
2021-05-30	46385885	vaccinated_first_dose
2021-05-31	47021991	vaccinated_first_dose
2021-06-01	47627660	vaccinated_first_dose
2021-06-02	48582786	vaccinated_first_dose
2021-06-03	49046839	vaccinated_first_dose
2021-06-04	49684272	vaccinated_first_dose
2021-06-05	50191277	vaccinated_first_dose
2021-06-06	50384506	vaccinated_first_dose
2021-06-07	51087585	vaccinated_first_dose
2021-06-08	52205050	vaccinated_first_dose
2021-06-09	53277689	vaccinated_first_dose
2021-06-10	54305523	vaccinated_first_dose
2021-06-11	55458519	vaccinated_first_dose
2021-06-12	56082538	vaccinated_first_dose
2021-06-13	56403706	vaccinated_first_dose
2021-06-14	57471235	vaccinated_first_dose
2021-06-15	58758537	vaccinated_first_dose
2021-06-16	60060884	vaccinated_first_dose
2021-06-17	62217932	vaccinated_first_dose
2021-06-18	63852264	vaccinated_first_dose
2021-06-19	64744486	vaccinated_first_dose
2021-06-20	65176731	vaccinated_first_dose
2021-06-21	66498448	vaccinated_first_dose
2021-06-22	67735474	vaccinated_first_dose
2021-06-23	68991818	vaccinated_first_dose
2021-06-24	70234807	vaccinated_first_dose
2021-06-25	71508496	vaccinated_first_dose
2021-06-26	72163060	vaccinated_first_dose
2021-06-27	72380250	vaccinated_first_dose
