date	value	vaccination
2021-01-01	0,00	vaccinated_first_dose
2021-01-02	0,00	vaccinated_first_dose
2021-01-03	0,00	vaccinated_first_dose
2021-01-04	0,00	vaccinated_first_dose
2021-01-05	0,00	vaccinated_first_dose
2021-01-06	0,00	vaccinated_first_dose
2021-01-07	0,00	vaccinated_first_dose
2021-01-08	0,00	vaccinated_first_dose
2021-01-09	0,00	vaccinated_first_dose
2021-01-10	0,00	vaccinated_first_dose
2021-01-11	0,00	vaccinated_first_dose
2021-01-12	0,00	vaccinated_first_dose
2021-01-13	0,00	vaccinated_first_dose
2021-01-14	0,00	vaccinated_first_dose
2021-01-15	0,00	vaccinated_first_dose
2021-01-16	0,00	vaccinated_first_dose
2021-01-18	15534,00	vaccinated_first_dose
2021-01-25	20984,00	vaccinated_first_dose
2021-02-01	24613,00	vaccinated_first_dose
2021-02-08	18065,00	vaccinated_first_dose
2021-02-15	6455,00	vaccinated_first_dose
2021-02-22	4752,00	vaccinated_first_dose
2021-03-01	34290,00	vaccinated_first_dose
2021-03-08	12439,00	vaccinated_first_dose
2021-03-15	32928,00	vaccinated_first_dose
2021-03-22	46995,00	vaccinated_first_dose
2021-03-29	12237,00	vaccinated_first_dose
2021-04-05	14824,00	vaccinated_first_dose
2021-04-12	21159,00	vaccinated_first_dose
2021-04-19	39067,00	vaccinated_first_dose
2021-04-26	21595,00	vaccinated_first_dose
2021-05-03	55963,00	vaccinated_first_dose
2021-05-10	32440,00	vaccinated_first_dose
2021-05-17	28351,00	vaccinated_first_dose
2021-05-24	28729,00	vaccinated_first_dose
2021-05-31	25342,00	vaccinated_first_dose
2021-06-07	43927,00	vaccinated_first_dose
2021-06-14	114175,00	vaccinated_first_dose
2021-06-21	98848,00	vaccinated_first_dose
2021-06-28	61663,00	vaccinated_first_dose
2021-07-05	51847,00	vaccinated_first_dose
2021-07-12	52556,00	vaccinated_first_dose
2021-07-19	73897,00	vaccinated_first_dose
2021-07-26	43315,00	vaccinated_first_dose
2021-08-02	59440,00	vaccinated_first_dose
2021-08-09	91313,00	vaccinated_first_dose
2021-08-16	21392,00	vaccinated_first_dose
2021-08-23	11182,00	vaccinated_first_dose
2021-08-30	52837,00	vaccinated_first_dose
2021-09-06	34301,00	vaccinated_first_dose
2021-09-13	12804,00	vaccinated_first_dose
2021-09-20	9270,00	vaccinated_first_dose
2021-09-27	13353,00	vaccinated_first_dose
2021-10-04	2918,00	vaccinated_first_dose
2021-10-11	3926,00	vaccinated_first_dose
2021-10-18	3172,00	vaccinated_first_dose
2021-10-25	6994,00	vaccinated_first_dose
2021-11-01	4665,00	vaccinated_first_dose
2021-11-08	3551,00	vaccinated_first_dose
2021-11-15	2922,00	vaccinated_first_dose
2021-11-22	2934,00	vaccinated_first_dose
2021-11-29	2720,00	vaccinated_first_dose
2021-12-06	2141,00	vaccinated_first_dose
2021-12-13	1910,00	vaccinated_first_dose
2021-12-20	1134,00	vaccinated_first_dose
2021-12-27	1017,00	vaccinated_first_dose
2022-01-03	2103,00	vaccinated_first_dose
2022-01-10	1949,00	vaccinated_first_dose
2022-01-17	5403,00	vaccinated_first_dose
2022-01-24	28355,00	vaccinated_first_dose
2022-01-31	33285,00	vaccinated_first_dose
2022-02-07	10212,00	vaccinated_first_dose
2022-02-14	6210,00	vaccinated_first_dose
2022-02-21	6356,00	vaccinated_first_dose
2022-02-28	2959,00	vaccinated_first_dose
2022-03-07	4173,00	vaccinated_first_dose
2022-03-14	3401,00	vaccinated_first_dose
2022-03-21	3870,00	vaccinated_first_dose
2022-03-28	1777,00	vaccinated_first_dose
2022-04-04	1230,00	vaccinated_first_dose
2022-04-11	723,00	vaccinated_first_dose
2022-04-18	582,00	vaccinated_first_dose
2022-04-25	1116,00	vaccinated_first_dose
2021-01-01	0,00	vaccinated_second_dose
2021-01-02	0,00	vaccinated_second_dose
2021-01-03	0,00	vaccinated_second_dose
2021-01-04	0,00	vaccinated_second_dose
2021-01-05	0,00	vaccinated_second_dose
2021-01-06	0,00	vaccinated_second_dose
2021-01-07	0,00	vaccinated_second_dose
2021-01-08	0,00	vaccinated_second_dose
2021-01-09	0,00	vaccinated_second_dose
2021-01-10	0,00	vaccinated_second_dose
2021-01-11	0,00	vaccinated_second_dose
2021-01-12	0,00	vaccinated_second_dose
2021-01-13	0,00	vaccinated_second_dose
2021-01-14	0,00	vaccinated_second_dose
2021-01-15	0,00	vaccinated_second_dose
2021-01-16	0,00	vaccinated_second_dose
2021-01-18	0,00	vaccinated_second_dose
2021-01-25	0,00	vaccinated_second_dose
2021-02-01	0,00	vaccinated_second_dose
2021-02-08	13210,00	vaccinated_second_dose
2021-02-15	12168,00	vaccinated_second_dose
2021-02-22	5563,00	vaccinated_second_dose
2021-03-01	17685,00	vaccinated_second_dose
2021-03-08	11012,00	vaccinated_second_dose
2021-03-15	2757,00	vaccinated_second_dose
2021-03-22	11889,00	vaccinated_second_dose
2021-03-29	8953,00	vaccinated_second_dose
2021-04-05	26385,00	vaccinated_second_dose
2021-04-12	43838,00	vaccinated_second_dose
2021-04-19	22327,00	vaccinated_second_dose
2021-04-26	25191,00	vaccinated_second_dose
2021-05-03	15807,00	vaccinated_second_dose
2021-05-10	7328,00	vaccinated_second_dose
2021-05-17	14232,00	vaccinated_second_dose
2021-05-24	15457,00	vaccinated_second_dose
2021-05-31	5849,00	vaccinated_second_dose
2021-06-07	2123,00	vaccinated_second_dose
2021-06-14	2038,00	vaccinated_second_dose
2021-06-21	1603,00	vaccinated_second_dose
2021-06-28	3416,00	vaccinated_second_dose
2021-07-05	13346,00	vaccinated_second_dose
2021-07-12	36364,00	vaccinated_second_dose
2021-07-19	43281,00	vaccinated_second_dose
2021-07-26	57999,00	vaccinated_second_dose
2021-08-02	35899,00	vaccinated_second_dose
2021-08-09	39344,00	vaccinated_second_dose
2021-08-16	80341,00	vaccinated_second_dose
2021-08-23	59316,00	vaccinated_second_dose
2021-08-30	82318,00	vaccinated_second_dose
2021-09-06	93257,00	vaccinated_second_dose
2021-09-13	79312,00	vaccinated_second_dose
2021-09-20	64927,00	vaccinated_second_dose
2021-09-27	60039,00	vaccinated_second_dose
2021-10-04	41966,00	vaccinated_second_dose
2021-10-11	28403,00	vaccinated_second_dose
2021-10-18	35172,00	vaccinated_second_dose
2021-10-25	45636,00	vaccinated_second_dose
2021-11-01	32228,00	vaccinated_second_dose
2021-11-08	30930,00	vaccinated_second_dose
2021-11-15	16209,00	vaccinated_second_dose
2021-11-22	19370,00	vaccinated_second_dose
2021-11-29	14769,00	vaccinated_second_dose
2021-12-06	10271,00	vaccinated_second_dose
2021-12-13	7911,00	vaccinated_second_dose
2021-12-20	4707,00	vaccinated_second_dose
2021-12-27	4122,00	vaccinated_second_dose
2022-01-03	6384,00	vaccinated_second_dose
2022-01-10	4628,00	vaccinated_second_dose
2022-01-17	3518,00	vaccinated_second_dose
2022-01-24	2956,00	vaccinated_second_dose
2022-01-31	3416,00	vaccinated_second_dose
2022-02-07	2609,00	vaccinated_second_dose
2022-02-14	2272,00	vaccinated_second_dose
2022-02-21	13163,00	vaccinated_second_dose
2022-02-28	9810,00	vaccinated_second_dose
2022-03-07	11021,00	vaccinated_second_dose
2022-03-14	9534,00	vaccinated_second_dose
2022-03-21	10084,00	vaccinated_second_dose
2022-03-28	7011,00	vaccinated_second_dose
2022-04-04	4957,00	vaccinated_second_dose
2022-04-11	2944,00	vaccinated_second_dose
2022-04-18	2802,00	vaccinated_second_dose
2022-04-25	4345,00	vaccinated_second_dose
2021-01-01	0,00	vaccinated_sigle_dose
2021-01-02	0,00	vaccinated_sigle_dose
2021-01-03	0,00	vaccinated_sigle_dose
2021-01-04	0,00	vaccinated_sigle_dose
2021-01-05	0,00	vaccinated_sigle_dose
2021-01-06	0,00	vaccinated_sigle_dose
2021-01-07	0,00	vaccinated_sigle_dose
2021-01-08	0,00	vaccinated_sigle_dose
2021-01-09	0,00	vaccinated_sigle_dose
2021-01-10	0,00	vaccinated_sigle_dose
2021-01-11	0,00	vaccinated_sigle_dose
2021-01-12	0,00	vaccinated_sigle_dose
2021-01-13	0,00	vaccinated_sigle_dose
2021-01-14	0,00	vaccinated_sigle_dose
2021-01-15	0,00	vaccinated_sigle_dose
2021-01-16	0,00	vaccinated_sigle_dose
2021-01-18	0,00	vaccinated_sigle_dose
2021-01-25	0,00	vaccinated_sigle_dose
2021-02-01	0,00	vaccinated_sigle_dose
2021-02-08	0,00	vaccinated_sigle_dose
2021-02-15	0,00	vaccinated_sigle_dose
2021-02-22	0,00	vaccinated_sigle_dose
2021-03-01	0,00	vaccinated_sigle_dose
2021-03-08	0,00	vaccinated_sigle_dose
2021-03-15	0,00	vaccinated_sigle_dose
2021-03-22	0,00	vaccinated_sigle_dose
2021-03-29	0,00	vaccinated_sigle_dose
2021-04-05	0,00	vaccinated_sigle_dose
2021-04-12	0,00	vaccinated_sigle_dose
2021-04-19	0,00	vaccinated_sigle_dose
2021-04-26	0,00	vaccinated_sigle_dose
2021-05-03	0,00	vaccinated_sigle_dose
2021-05-10	0,00	vaccinated_sigle_dose
2021-05-17	0,00	vaccinated_sigle_dose
2021-05-24	0,00	vaccinated_sigle_dose
2021-05-31	0,00	vaccinated_sigle_dose
2021-06-07	0,00	vaccinated_sigle_dose
2021-06-14	0,00	vaccinated_sigle_dose
2021-06-21	0,00	vaccinated_sigle_dose
2021-06-28	9073,00	vaccinated_sigle_dose
2021-07-05	17272,00	vaccinated_sigle_dose
2021-07-12	4061,00	vaccinated_sigle_dose
2021-07-19	0,00	vaccinated_sigle_dose
2021-07-26	0,00	vaccinated_sigle_dose
2021-08-02	0,00	vaccinated_sigle_dose
2021-08-09	0,00	vaccinated_sigle_dose
2021-08-16	0,00	vaccinated_sigle_dose
2021-08-23	0,00	vaccinated_sigle_dose
2021-08-30	0,00	vaccinated_sigle_dose
2021-09-06	0,00	vaccinated_sigle_dose
2021-09-13	0,00	vaccinated_sigle_dose
2021-09-20	0,00	vaccinated_sigle_dose
2021-09-27	0,00	vaccinated_sigle_dose
2021-10-04	0,00	vaccinated_sigle_dose
2021-10-11	0,00	vaccinated_sigle_dose
2021-10-18	0,00	vaccinated_sigle_dose
2021-10-25	0,00	vaccinated_sigle_dose
2021-11-01	0,00	vaccinated_sigle_dose
2021-11-08	0,00	vaccinated_sigle_dose
2021-11-15	0,00	vaccinated_sigle_dose
2021-11-22	0,00	vaccinated_sigle_dose
2021-11-29	0,00	vaccinated_sigle_dose
2021-12-06	0,00	vaccinated_sigle_dose
2021-12-13	0,00	vaccinated_sigle_dose
2021-12-20	0,00	vaccinated_sigle_dose
2021-12-27	0,00	vaccinated_sigle_dose
2022-01-03	0,00	vaccinated_sigle_dose
2022-01-10	0,00	vaccinated_sigle_dose
2022-01-17	0,00	vaccinated_sigle_dose
2022-01-24	0,00	vaccinated_sigle_dose
2022-01-31	0,00	vaccinated_sigle_dose
2022-02-07	0,00	vaccinated_sigle_dose
2022-02-14	0,00	vaccinated_sigle_dose
2022-02-21	0,00	vaccinated_sigle_dose
2022-02-28	0,00	vaccinated_sigle_dose
2022-03-07	0,00	vaccinated_sigle_dose
2022-03-14	0,00	vaccinated_sigle_dose
2022-03-21	0,00	vaccinated_sigle_dose
2022-03-28	0,00	vaccinated_sigle_dose
2022-04-04	0,00	vaccinated_sigle_dose
2022-04-11	0,00	vaccinated_sigle_dose
2022-04-18	0,00	vaccinated_sigle_dose
2022-04-25	0,00	vaccinated_sigle_dose
2021-01-01	0,00	vaccinated_third_dose
2021-01-02	0,00	vaccinated_third_dose
2021-01-03	0,00	vaccinated_third_dose
2021-01-04	0,00	vaccinated_third_dose
2021-01-05	0,00	vaccinated_third_dose
2021-01-06	0,00	vaccinated_third_dose
2021-01-07	0,00	vaccinated_third_dose
2021-01-08	0,00	vaccinated_third_dose
2021-01-09	0,00	vaccinated_third_dose
2021-01-10	0,00	vaccinated_third_dose
2021-01-11	0,00	vaccinated_third_dose
